GWAS_locus	Cytoband	Lead_SNP	Gene	name	value
3	1p36_22	rs11121848	KIAA2013	OMIM	0
3	1p36_22	rs11121848	KIAA2013	DEG_AD	0
3	1p36_22	rs11121848	MASP2	Novel_loci	0
3	1p36_22	rs11121848	MASP2	Nearest_gene	0
3	1p36_22	rs11121848	MASP2	V2G	0
3	1p36_22	rs11121848	MASP2	DEPICT	0
3	1p36_22	rs11121848	MASP2	MAGMA	0
3	1p36_22	rs11121848	MASP2	cis_espQTL	1
3	1p36_22	rs11121848	MASP2	trans_pQTL	0
3	1p36_22	rs11121848	MASP2	Coding_CS	0
3	1p36_22	rs11121848	MASP2	Coding_LD	0
3	1p36_22	rs11121848	MASP2	Coding_Lit	0
3	1p36_22	rs11121848	MASP2	OMIM	1
3	1p36_22	rs11121848	MASP2	DEG_AD	0
3	1p36_22	rs11121848	MFN2	Novel_loci	0
3	1p36_22	rs11121848	MFN2	Nearest_gene	0
3	1p36_22	rs11121848	MFN2	V2G	1
3	1p36_22	rs11121848	MFN2	DEPICT	0
3	1p36_22	rs11121848	MFN2	MAGMA	0
3	1p36_22	rs11121848	MFN2	cis_espQTL	1
3	1p36_22	rs11121848	MFN2	trans_pQTL	0
3	1p36_22	rs11121848	MFN2	Coding_CS	0
3	1p36_22	rs11121848	MFN2	Coding_LD	0
3	1p36_22	rs11121848	MFN2	Coding_Lit	0
3	1p36_22	rs11121848	MFN2	OMIM	0
3	1p36_22	rs11121848	MFN2	DEG_AD	0
3	1p36_22	rs11121848	MIIP	Novel_loci	0
3	1p36_22	rs11121848	MIIP	Nearest_gene	1
3	1p36_22	rs11121848	MIIP	V2G	0
3	1p36_22	rs11121848	MIIP	DEPICT	0
3	1p36_22	rs11121848	MIIP	MAGMA	0
3	1p36_22	rs11121848	MIIP	cis_espQTL	1
3	1p36_22	rs11121848	MIIP	trans_pQTL	0
3	1p36_22	rs11121848	MIIP	Coding_CS	0
3	1p36_22	rs11121848	MIIP	Coding_LD	0
3	1p36_22	rs11121848	MIIP	Coding_Lit	0
3	1p36_22	rs11121848	MIIP	OMIM	0
3	1p36_22	rs11121848	MIIP	DEG_AD	0
3	1p36_22	rs11121848	PLOD1	Novel_loci	0
3	1p36_22	rs11121848	PLOD1	Nearest_gene	0
3	1p36_22	rs11121848	PLOD1	V2G	0
3	1p36_22	rs11121848	PLOD1	DEPICT	0
3	1p36_22	rs11121848	PLOD1	MAGMA	0
3	1p36_22	rs11121848	PLOD1	cis_espQTL	1
3	1p36_22	rs11121848	PLOD1	trans_pQTL	0
3	1p36_22	rs11121848	PLOD1	Coding_CS	0
3	1p36_22	rs11121848	PLOD1	Coding_LD	0
3	1p36_22	rs11121848	PLOD1	Coding_Lit	0
3	1p36_22	rs11121848	PLOD1	OMIM	1
3	1p36_22	rs11121848	PLOD1	DEG_AD	0
3	1p36_22	rs11121848	TNFRSF8	Novel_loci	0
3	1p36_22	rs11121848	TNFRSF8	Nearest_gene	0
3	1p36_22	rs11121848	TNFRSF8	V2G	0
3	1p36_22	rs11121848	TNFRSF8	DEPICT	1
3	1p36_22	rs11121848	TNFRSF8	MAGMA	0
3	1p36_22	rs11121848	TNFRSF8	cis_espQTL	0
3	1p36_22	rs11121848	TNFRSF8	trans_pQTL	0
3	1p36_22	rs11121848	TNFRSF8	Coding_CS	0
3	1p36_22	rs11121848	TNFRSF8	Coding_LD	0
3	1p36_22	rs11121848	TNFRSF8	Coding_Lit	0
3	1p36_22	rs11121848	TNFRSF8	OMIM	0
3	1p36_22	rs11121848	TNFRSF8	DEG_AD	0
4	1p36_11	rs4265380	RCAN3	Novel_loci	0
4	1p36_11	rs4265380	RCAN3	Nearest_gene	0
4	1p36_11	rs4265380	RCAN3	V2G	0
4	1p36_11	rs4265380	RCAN3	DEPICT	0
4	1p36_11	rs4265380	RCAN3	MAGMA	0
4	1p36_11	rs4265380	RCAN3	cis_espQTL	1
4	1p36_11	rs4265380	RCAN3	trans_pQTL	0
4	1p36_11	rs4265380	RCAN3	Coding_CS	0
4	1p36_11	rs4265380	RCAN3	Coding_LD	0
4	1p36_11	rs4265380	RCAN3	Coding_Lit	0
4	1p36_11	rs4265380	RCAN3	OMIM	0
4	1p36_11	rs4265380	RCAN3	DEG_AD	0
4	1p36_11	rs4265380	RUNX3	Novel_loci	0
4	1p36_11	rs4265380	RUNX3	Nearest_gene	1
4	1p36_11	rs4265380	RUNX3	V2G	1
4	1p36_11	rs4265380	RUNX3	DEPICT	1
4	1p36_11	rs4265380	RUNX3	MAGMA	1
4	1p36_11	rs4265380	RUNX3	cis_espQTL	1
4	1p36_11	rs4265380	RUNX3	trans_pQTL	0
4	1p36_11	rs4265380	RUNX3	Coding_CS	0
4	1p36_11	rs4265380	RUNX3	Coding_LD	0
4	1p36_11	rs4265380	RUNX3	Coding_Lit	0
4	1p36_11	rs4265380	RUNX3	OMIM	0
4	1p36_11	rs4265380	RUNX3	DEG_AD	0
5	1p36_11	rs11247907	CD52	Novel_loci	1
5	1p36_11	rs11247907	CD52	Nearest_gene	1
5	1p36_11	rs11247907	CD52	V2G	0
5	1p36_11	rs11247907	CD52	DEPICT	0
5	1p36_11	rs11247907	CD52	MAGMA	0
5	1p36_11	rs11247907	CD52	cis_espQTL	1
5	1p36_11	rs11247907	CD52	trans_pQTL	0
5	1p36_11	rs11247907	CD52	Coding_CS	0
5	1p36_11	rs11247907	CD52	Coding_LD	0
5	1p36_11	rs11247907	CD52	Coding_Lit	0
5	1p36_11	rs11247907	CD52	OMIM	0
5	1p36_11	rs11247907	CD52	DEG_AD	0
5	1p36_11	rs11247907	CEP85	Novel_loci	1
5	1p36_11	rs11247907	CEP85	Nearest_gene	0
5	1p36_11	rs11247907	CEP85	V2G	0
5	1p36_11	rs11247907	CEP85	DEPICT	0
5	1p36_11	rs11247907	CEP85	MAGMA	0
5	1p36_11	rs11247907	CEP85	cis_espQTL	0
5	1p36_11	rs11247907	CEP85	trans_pQTL	0
5	1p36_11	rs11247907	CEP85	Coding_CS	0
5	1p36_11	rs11247907	CEP85	Coding_LD	1
5	1p36_11	rs11247907	CEP85	Coding_Lit	0
5	1p36_11	rs11247907	CEP85	OMIM	0
5	1p36_11	rs11247907	CEP85	DEG_AD	0
5	1p36_11	rs11247907	SH3BGRL3	Novel_loci	1
5	1p36_11	rs11247907	SH3BGRL3	Nearest_gene	0
5	1p36_11	rs11247907	SH3BGRL3	V2G	0
5	1p36_11	rs11247907	SH3BGRL3	DEPICT	0
5	1p36_11	rs11247907	SH3BGRL3	MAGMA	0
5	1p36_11	rs11247907	SH3BGRL3	cis_espQTL	1
5	1p36_11	rs11247907	SH3BGRL3	trans_pQTL	0
5	1p36_11	rs11247907	SH3BGRL3	Coding_CS	0
5	1p36_11	rs11247907	SH3BGRL3	Coding_LD	0
5	1p36_11	rs11247907	SH3BGRL3	Coding_Lit	0
5	1p36_11	rs11247907	SH3BGRL3	OMIM	0
5	1p36_11	rs11247907	SH3BGRL3	DEG_AD	1
5	1p36_11	rs11247907	UBXN11	Novel_loci	1
5	1p36_11	rs11247907	UBXN11	Nearest_gene	0
5	1p36_11	rs11247907	UBXN11	V2G	1
5	1p36_11	rs11247907	UBXN11	DEPICT	0
5	1p36_11	rs11247907	UBXN11	MAGMA	0
5	1p36_11	rs11247907	UBXN11	cis_espQTL	1
5	1p36_11	rs11247907	UBXN11	trans_pQTL	0
5	1p36_11	rs11247907	UBXN11	Coding_CS	0
5	1p36_11	rs11247907	UBXN11	Coding_LD	0
5	1p36_11	rs11247907	UBXN11	Coding_Lit	0
5	1p36_11	rs11247907	UBXN11	OMIM	0
5	1p36_11	rs11247907	UBXN11	DEG_AD	0
5	1p36_11	rs11247907	ZNF593	Novel_loci	1
5	1p36_11	rs11247907	ZNF593	Nearest_gene	0
5	1p36_11	rs11247907	ZNF593	V2G	0
5	1p36_11	rs11247907	ZNF593	DEPICT	0
5	1p36_11	rs11247907	ZNF593	MAGMA	0
5	1p36_11	rs11247907	ZNF593	cis_espQTL	1
5	1p36_11	rs11247907	ZNF593	trans_pQTL	0
5	1p36_11	rs11247907	ZNF593	Coding_CS	0
5	1p36_11	rs11247907	ZNF593	Coding_LD	0
5	1p36_11	rs11247907	ZNF593	Coding_Lit	0
5	1p36_11	rs11247907	ZNF593	OMIM	0
5	1p36_11	rs11247907	ZNF593	DEG_AD	0
6	1p13_3	rs12565349	EPS8L3	Novel_loci	0
6	1p13_3	rs12565349	EPS8L3	Nearest_gene	1
6	1p13_3	rs12565349	EPS8L3	V2G	0
6	1p13_3	rs12565349	EPS8L3	DEPICT	0
6	1p13_3	rs12565349	EPS8L3	MAGMA	0
6	1p13_3	rs12565349	EPS8L3	cis_espQTL	0
6	1p13_3	rs12565349	EPS8L3	trans_pQTL	0
6	1p13_3	rs12565349	EPS8L3	Coding_CS	0
6	1p13_3	rs12565349	EPS8L3	Coding_LD	0
6	1p13_3	rs12565349	EPS8L3	Coding_Lit	0
6	1p13_3	rs12565349	EPS8L3	OMIM	1
6	1p13_3	rs12565349	EPS8L3	DEG_AD	0
6	1p13_3	rs12565349	GSTM3	Novel_loci	0
6	1p13_3	rs12565349	GSTM3	Nearest_gene	0
6	1p13_3	rs12565349	GSTM3	V2G	1
6	1p13_3	rs12565349	GSTM3	DEPICT	0
6	1p13_3	rs12565349	GSTM3	MAGMA	0
6	1p13_3	rs12565349	GSTM3	cis_espQTL	0
6	1p13_3	rs12565349	GSTM3	trans_pQTL	0
6	1p13_3	rs12565349	GSTM3	Coding_CS	0
6	1p13_3	rs12565349	GSTM3	Coding_LD	0
6	1p13_3	rs12565349	GSTM3	Coding_Lit	0
6	1p13_3	rs12565349	GSTM3	OMIM	0
6	1p13_3	rs12565349	GSTM3	DEG_AD	1
7	1q21_2	rs193099908	APH1A	Novel_loci	0
7	1q21_2	rs193099908	APH1A	Nearest_gene	0
7	1q21_2	rs193099908	APH1A	V2G	0
7	1q21_2	rs193099908	APH1A	DEPICT	1
7	1q21_2	rs193099908	APH1A	MAGMA	0
7	1q21_2	rs193099908	APH1A	cis_espQTL	0
7	1q21_2	rs193099908	APH1A	trans_pQTL	0
7	1q21_2	rs193099908	APH1A	Coding_CS	0
7	1q21_2	rs193099908	APH1A	Coding_LD	0
7	1q21_2	rs193099908	APH1A	Coding_Lit	0
7	1q21_2	rs193099908	APH1A	OMIM	0
7	1q21_2	rs193099908	APH1A	DEG_AD	0
7	1q21_2	rs193099908	C1orf51	Novel_loci	0
7	1q21_2	rs193099908	C1orf51	Nearest_gene	1
7	1q21_2	rs193099908	C1orf51	V2G	0
7	1q21_2	rs193099908	C1orf51	DEPICT	0
7	1q21_2	rs193099908	C1orf51	MAGMA	0
7	1q21_2	rs193099908	C1orf51	cis_espQTL	0
7	1q21_2	rs193099908	C1orf51	trans_pQTL	0
7	1q21_2	rs193099908	C1orf51	Coding_CS	0
7	1q21_2	rs193099908	C1orf51	Coding_LD	0
7	1q21_2	rs193099908	C1orf51	Coding_Lit	0
7	1q21_2	rs193099908	C1orf51	OMIM	0
7	1q21_2	rs193099908	C1orf51	DEG_AD	0
7	1q21_2	rs193099908	C1orf54	Novel_loci	0
7	1q21_2	rs193099908	C1orf54	Nearest_gene	0
7	1q21_2	rs193099908	C1orf54	V2G	0
7	1q21_2	rs193099908	C1orf54	DEPICT	0
7	1q21_2	rs193099908	C1orf54	MAGMA	1
7	1q21_2	rs193099908	C1orf54	cis_espQTL	1
7	1q21_2	rs193099908	C1orf54	trans_pQTL	0
7	1q21_2	rs193099908	C1orf54	Coding_CS	0
7	1q21_2	rs193099908	C1orf54	Coding_LD	0
7	1q21_2	rs193099908	C1orf54	Coding_Lit	0
7	1q21_2	rs193099908	C1orf54	OMIM	0
7	1q21_2	rs193099908	C1orf54	DEG_AD	0
7	1q21_2	rs193099908	CA14	Novel_loci	0
7	1q21_2	rs193099908	CA14	Nearest_gene	0
7	1q21_2	rs193099908	CA14	V2G	1
7	1q21_2	rs193099908	CA14	DEPICT	0
7	1q21_2	rs193099908	CA14	MAGMA	0
7	1q21_2	rs193099908	CA14	cis_espQTL	0
7	1q21_2	rs193099908	CA14	trans_pQTL	0
7	1q21_2	rs193099908	CA14	Coding_CS	0
7	1q21_2	rs193099908	CA14	Coding_LD	0
7	1q21_2	rs193099908	CA14	Coding_Lit	0
7	1q21_2	rs193099908	CA14	OMIM	0
7	1q21_2	rs193099908	CA14	DEG_AD	0
7	1q21_2	rs193099908	CIART	Novel_loci	0
7	1q21_2	rs193099908	CIART	Nearest_gene	0
7	1q21_2	rs193099908	CIART	V2G	0
7	1q21_2	rs193099908	CIART	DEPICT	0
7	1q21_2	rs193099908	CIART	MAGMA	1
7	1q21_2	rs193099908	CIART	cis_espQTL	1
7	1q21_2	rs193099908	CIART	trans_pQTL	0
7	1q21_2	rs193099908	CIART	Coding_CS	0
7	1q21_2	rs193099908	CIART	Coding_LD	0
7	1q21_2	rs193099908	CIART	Coding_Lit	0
7	1q21_2	rs193099908	CIART	OMIM	0
7	1q21_2	rs193099908	CIART	DEG_AD	0
7	1q21_2	rs193099908	ECM1	Novel_loci	0
7	1q21_2	rs193099908	ECM1	Nearest_gene	0
7	1q21_2	rs193099908	ECM1	V2G	0
7	1q21_2	rs193099908	ECM1	DEPICT	0
7	1q21_2	rs193099908	ECM1	MAGMA	1
7	1q21_2	rs193099908	ECM1	cis_espQTL	0
7	1q21_2	rs193099908	ECM1	trans_pQTL	0
7	1q21_2	rs193099908	ECM1	Coding_CS	0
7	1q21_2	rs193099908	ECM1	Coding_LD	1
7	1q21_2	rs193099908	ECM1	Coding_Lit	0
7	1q21_2	rs193099908	ECM1	OMIM	1
7	1q21_2	rs193099908	ECM1	DEG_AD	0
7	1q21_2	rs193099908	MRPS21	Novel_loci	0
7	1q21_2	rs193099908	MRPS21	Nearest_gene	0
7	1q21_2	rs193099908	MRPS21	V2G	0
7	1q21_2	rs193099908	MRPS21	DEPICT	0
7	1q21_2	rs193099908	MRPS21	MAGMA	1
7	1q21_2	rs193099908	MRPS21	cis_espQTL	1
7	1q21_2	rs193099908	MRPS21	trans_pQTL	0
7	1q21_2	rs193099908	MRPS21	Coding_CS	0
7	1q21_2	rs193099908	MRPS21	Coding_LD	0
7	1q21_2	rs193099908	MRPS21	Coding_Lit	0
7	1q21_2	rs193099908	MRPS21	OMIM	0
7	1q21_2	rs193099908	MRPS21	DEG_AD	0
7	1q21_2	rs193099908	PIP5K1A	Novel_loci	0
7	1q21_2	rs193099908	PIP5K1A	Nearest_gene	0
7	1q21_2	rs193099908	PIP5K1A	V2G	0
7	1q21_2	rs193099908	PIP5K1A	DEPICT	0
7	1q21_2	rs193099908	PIP5K1A	MAGMA	0
7	1q21_2	rs193099908	PIP5K1A	cis_espQTL	1
7	1q21_2	rs193099908	PIP5K1A	trans_pQTL	0
7	1q21_2	rs193099908	PIP5K1A	Coding_CS	0
7	1q21_2	rs193099908	PIP5K1A	Coding_LD	0
7	1q21_2	rs193099908	PIP5K1A	Coding_Lit	0
7	1q21_2	rs193099908	PIP5K1A	OMIM	0
7	1q21_2	rs193099908	PIP5K1A	DEG_AD	0
7	1q21_2	rs193099908	PRPF3	Novel_loci	0
7	1q21_2	rs193099908	PRPF3	Nearest_gene	0
7	1q21_2	rs193099908	PRPF3	V2G	0
7	1q21_2	rs193099908	PRPF3	DEPICT	0
7	1q21_2	rs193099908	PRPF3	MAGMA	1
7	1q21_2	rs193099908	PRPF3	cis_espQTL	0
7	1q21_2	rs193099908	PRPF3	trans_pQTL	0
7	1q21_2	rs193099908	PRPF3	Coding_CS	0
7	1q21_2	rs193099908	PRPF3	Coding_LD	0
7	1q21_2	rs193099908	PRPF3	Coding_Lit	0
7	1q21_2	rs193099908	PRPF3	OMIM	0
7	1q21_2	rs193099908	PRPF3	DEG_AD	0
7	1q21_2	rs193099908	RPRD2	Novel_loci	0
7	1q21_2	rs193099908	RPRD2	Nearest_gene	0
7	1q21_2	rs193099908	RPRD2	V2G	0
7	1q21_2	rs193099908	RPRD2	DEPICT	0
7	1q21_2	rs193099908	RPRD2	MAGMA	1
7	1q21_2	rs193099908	RPRD2	cis_espQTL	0
7	1q21_2	rs193099908	RPRD2	trans_pQTL	0
7	1q21_2	rs193099908	RPRD2	Coding_CS	0
7	1q21_2	rs193099908	RPRD2	Coding_LD	0
7	1q21_2	rs193099908	RPRD2	Coding_Lit	0
7	1q21_2	rs193099908	RPRD2	OMIM	0
7	1q21_2	rs193099908	RPRD2	DEG_AD	0
7	1q21_2	rs193099908	ST3GAL3	Novel_loci	0
7	1q21_2	rs193099908	ST3GAL3	Nearest_gene	0
7	1q21_2	rs193099908	ST3GAL3	V2G	0
7	1q21_2	rs193099908	ST3GAL3	DEPICT	0
7	1q21_2	rs193099908	ST3GAL3	MAGMA	1
7	1q21_2	rs193099908	ST3GAL3	cis_espQTL	0
7	1q21_2	rs193099908	ST3GAL3	trans_pQTL	0
7	1q21_2	rs193099908	ST3GAL3	Coding_CS	0
7	1q21_2	rs193099908	ST3GAL3	Coding_LD	0
7	1q21_2	rs193099908	ST3GAL3	Coding_Lit	0
7	1q21_2	rs193099908	ST3GAL3	OMIM	0
7	1q21_2	rs193099908	ST3GAL3	DEG_AD	0
7	1q21_2	rs193099908	TARS2	Novel_loci	0
7	1q21_2	rs193099908	TARS2	Nearest_gene	0
7	1q21_2	rs193099908	TARS2	V2G	0
7	1q21_2	rs193099908	TARS2	DEPICT	0
7	1q21_2	rs193099908	TARS2	MAGMA	1
7	1q21_2	rs193099908	TARS2	cis_espQTL	1
7	1q21_2	rs193099908	TARS2	trans_pQTL	0
7	1q21_2	rs193099908	TARS2	Coding_CS	0
7	1q21_2	rs193099908	TARS2	Coding_LD	0
7	1q21_2	rs193099908	TARS2	Coding_Lit	0
7	1q21_2	rs193099908	TARS2	OMIM	1
7	1q21_2	rs193099908	TARS2	DEG_AD	0
8	1q21_3	rs558269137	C2CD4D-AS1	Novel_loci	0
8	1q21_3	rs558269137	C2CD4D-AS1	Nearest_gene	0
8	1q21_3	rs558269137	C2CD4D-AS1	V2G	0
8	1q21_3	rs558269137	C2CD4D-AS1	DEPICT	1
8	1q21_3	rs558269137	C2CD4D-AS1	MAGMA	0
8	1q21_3	rs558269137	C2CD4D-AS1	cis_espQTL	0
8	1q21_3	rs558269137	C2CD4D-AS1	trans_pQTL	0
8	1q21_3	rs558269137	C2CD4D-AS1	Coding_CS	0
8	1q21_3	rs558269137	C2CD4D-AS1	Coding_LD	0
8	1q21_3	rs558269137	C2CD4D-AS1	Coding_Lit	0
8	1q21_3	rs558269137	C2CD4D-AS1	OMIM	0
8	1q21_3	rs558269137	C2CD4D-AS1	DEG_AD	0
8	1q21_3	rs558269137	CGN	Novel_loci	0
8	1q21_3	rs558269137	CGN	Nearest_gene	0
8	1q21_3	rs558269137	CGN	V2G	0
8	1q21_3	rs558269137	CGN	DEPICT	0
8	1q21_3	rs558269137	CGN	MAGMA	0
8	1q21_3	rs558269137	CGN	cis_espQTL	0
8	1q21_3	rs558269137	CGN	trans_pQTL	0
8	1q21_3	rs558269137	CGN	Coding_CS	0
8	1q21_3	rs558269137	CGN	Coding_LD	1
8	1q21_3	rs558269137	CGN	Coding_Lit	0
8	1q21_3	rs558269137	CGN	OMIM	0
8	1q21_3	rs558269137	CGN	DEG_AD	0
8	1q21_3	rs558269137	CRCT1	Novel_loci	0
8	1q21_3	rs558269137	CRCT1	Nearest_gene	0
8	1q21_3	rs558269137	CRCT1	V2G	0
8	1q21_3	rs558269137	CRCT1	DEPICT	0
8	1q21_3	rs558269137	CRCT1	MAGMA	1
8	1q21_3	rs558269137	CRCT1	cis_espQTL	0
8	1q21_3	rs558269137	CRCT1	trans_pQTL	0
8	1q21_3	rs558269137	CRCT1	Coding_CS	0
8	1q21_3	rs558269137	CRCT1	Coding_LD	0
8	1q21_3	rs558269137	CRCT1	Coding_Lit	0
8	1q21_3	rs558269137	CRCT1	OMIM	0
8	1q21_3	rs558269137	CRCT1	DEG_AD	0
8	1q21_3	rs558269137	CTSS	Novel_loci	0
8	1q21_3	rs558269137	CTSS	Nearest_gene	0
8	1q21_3	rs558269137	CTSS	V2G	0
8	1q21_3	rs558269137	CTSS	DEPICT	0
8	1q21_3	rs558269137	CTSS	MAGMA	0
8	1q21_3	rs558269137	CTSS	cis_espQTL	1
8	1q21_3	rs558269137	CTSS	trans_pQTL	0
8	1q21_3	rs558269137	CTSS	Coding_CS	0
8	1q21_3	rs558269137	CTSS	Coding_LD	0
8	1q21_3	rs558269137	CTSS	Coding_Lit	0
8	1q21_3	rs558269137	CTSS	OMIM	0
8	1q21_3	rs558269137	CTSS	DEG_AD	0
8	1q21_3	rs558269137	FLG	Novel_loci	0
8	1q21_3	rs558269137	FLG	Nearest_gene	1
8	1q21_3	rs558269137	FLG	V2G	0
8	1q21_3	rs558269137	FLG	DEPICT	0
8	1q21_3	rs558269137	FLG	MAGMA	0
8	1q21_3	rs558269137	FLG	cis_espQTL	0
8	1q21_3	rs558269137	FLG	trans_pQTL	0
8	1q21_3	rs558269137	FLG	Coding_CS	1
8	1q21_3	rs558269137	FLG	Coding_LD	1
8	1q21_3	rs558269137	FLG	Coding_Lit	1
8	1q21_3	rs558269137	FLG	OMIM	1
8	1q21_3	rs558269137	FLG	DEG_AD	1
8	1q21_3	rs558269137	FLG2	Novel_loci	0
8	1q21_3	rs558269137	FLG2	Nearest_gene	0
8	1q21_3	rs558269137	FLG2	V2G	0
8	1q21_3	rs558269137	FLG2	DEPICT	0
8	1q21_3	rs558269137	FLG2	MAGMA	0
8	1q21_3	rs558269137	FLG2	cis_espQTL	0
8	1q21_3	rs558269137	FLG2	trans_pQTL	0
8	1q21_3	rs558269137	FLG2	Coding_CS	0
8	1q21_3	rs558269137	FLG2	Coding_LD	0
8	1q21_3	rs558269137	FLG2	Coding_Lit	0
8	1q21_3	rs558269137	FLG2	OMIM	1
8	1q21_3	rs558269137	FLG2	DEG_AD	1
8	1q21_3	rs558269137	HRNR	Novel_loci	0
8	1q21_3	rs558269137	HRNR	Nearest_gene	0
8	1q21_3	rs558269137	HRNR	V2G	0
8	1q21_3	rs558269137	HRNR	DEPICT	0
8	1q21_3	rs558269137	HRNR	MAGMA	0
8	1q21_3	rs558269137	HRNR	cis_espQTL	0
8	1q21_3	rs558269137	HRNR	trans_pQTL	0
8	1q21_3	rs558269137	HRNR	Coding_CS	0
8	1q21_3	rs558269137	HRNR	Coding_LD	1
8	1q21_3	rs558269137	HRNR	Coding_Lit	0
8	1q21_3	rs558269137	HRNR	OMIM	0
8	1q21_3	rs558269137	HRNR	DEG_AD	1
8	1q21_3	rs558269137	KPRP	Novel_loci	0
8	1q21_3	rs558269137	KPRP	Nearest_gene	0
8	1q21_3	rs558269137	KPRP	V2G	0
8	1q21_3	rs558269137	KPRP	DEPICT	0
8	1q21_3	rs558269137	KPRP	MAGMA	0
8	1q21_3	rs558269137	KPRP	cis_espQTL	0
8	1q21_3	rs558269137	KPRP	trans_pQTL	0
8	1q21_3	rs558269137	KPRP	Coding_CS	0
