GeneID	Dendritic_cells_H	Fibroblasts_H	ILC_NK_cells_H	Keratinocytes_H	Langerhans_cell_H	Lymphatic_endothelium_H	Macrophages_H	Mast_cells_H	Melanocytes_H	Pericytes_H	Plasma_cells_H	Schwann_cells_H	T_cells_H	Vascular_endothelium_H	Dendritic_cells_LS	Fibroblasts_LS	ILC_NK_cells_LS	Keratinocytes_LS	Langerhans_cell_LS	Lymphatic_endothelium_LS	Macrophages_LS	Mast_cells_LS	Melanocytes_LS	Pericytes_LS	Schwann_cells_LS	T_cells_LS	Vascular_endothelium_LS	Melanocytes_DP	Dendritic_cells_DP	Vascular_endothelium_DP	Pericytes_DP	Fibroblasts_DP	Macrophages_DP	Langerhans_cell_DP	Schwann_cells_DP	Keratinocytes_DP	ILC_NK_cells_DP	Mast_cells_DP	T_cells_DP	Lymphatic_endothelium_DP		SUM L + DP		Novel
REL	1	0	1	1	1	0	1	0	0	0	8.25E-09	0.002289948	0	0	1	0	1	0	1	1.41E-10	1	0.006384351	0	0	0.000222536	0	0	0.050429868	0	1	0.0000346	1	1	0	0.000420352	0	1	0.302216354	1	0.004508842		0.00	12.05978166	0
HLA-DRA	1	0	0	0	1	0	1	0	0	0	5.69E-06	0	0	1	1	0	5.05E-09	0	1	0	1	3.16E-10	0	0	4.53E-08	0	1	0.640796162	0	0.69454533	0.037628749	0.531638233	1	0	0.013533321	1	1	0.034828106	1	0.020967651		1.00	11.91814754	0
RNASEH2C	0.000230933	1	2.20E-07	0	0	1	0.299261248	0.070827105	0	1	0.004894083	0.046362527	0	1	0.000295548	1	5.61E-05	0	0.031610212	1	3.55E-13	0.01798246	1	1	0.03791291	0	1	1	1.37E-15	0	0	0	0	0.118279976	0.021812536	1	0.0000963	0.009218698	0	5.80E-09		1.00	11.64952582	0
DDX39B	0	1	2.44E-06	1	9.21E-11	0.000620591	5.82E-08	4.31E-08	2.37E-09	0.149392092	0.025924808	0.01697534	0.00162883	0.163455951	0.000146135	1	0.000626399	1	0.0005861	0.541497697	0.002428963	0.021361157	0.287518823	0.008086714	0.067034614	0	0.833858961	0.940844055	1	1	0.122999311	0.229139301	0.606829984	0.38663516	0.10986485	1	0.045778164	0.181065099	0.0000175	1		2.00	11.51745838	0
LMAN2	0	1	1	0	0	1	0.774123021	0.155413705	0.124366592	3.81E-06	0.151159416	0.000244451	0.039253989	1	0.046492126	1	0.152287804	1	0.351460841	0.021191001	8.44E-17	0.000674773	1	0	0.009643909	7.24E-08	0.009873737	0.48492892	0.008245897	0	0	0	0	1	0.028756756	1	0.003275899	0.000574619	3.25E-15	2.55E-11		2.00	11.35812082	0
NDFIP1	1	1	0	0	1	1	0	0	9.50E-11	3.27E-13	8.84E-05	0.020892809	1	1	0.006832349	1	4.80E-07	0	1	4.48E-05	0	4.04E-09	0.494707454	0	0.004134316	1	2.14E-14	0.717459412	0	0	0	0.028719491	5.68E-09	0	0.009568149	1	0.01109006	0.020272946	1	0		1.00	11.28244767	0
PAFAH1B2	1	1.06E-10	6.63E-16	0	1	0.150720182	1	1.02E-06	0	0.000124855	0.030535934	0.06077465	0	1	1	0.006528934	0.003528691	0.71614921	0.771797082	0.265108914	1	0.001479511	0.237929961	1.99E-13	0.011560118	0	1	0.762612908	0	0	1.51E-12	1.76E-08	0.049655353	0	0.004785928	1	0.008813257	0.012780764	0	0.017555607		1.72	11.07329327	0
PPP2R3C	1	1	7.42E-09	0	1	1	1	3.05E-06	1.09E-05	0.005283706	0.007528003	0.00177925	0	1	1	0.139989982	0.032383516	0	0.069321957	0.527863132	0.782967112	0.007059414	0.677937637	5.82E-10	0.005763027	0.124128867	0.895619701	0.559794656	0	0	3.99E-09	0	0.000351959	6.73E-12	0.01405773	0.173955662	0.045974574	0.036737342	0.111684003	0.007054329		0.17	11.02579923	0
SEPT8	2.01E-12	1	3.02E-10	1	3.62E-17	0.037825072	4.34E-06	0.084589916	1	0.48720033	0.03526662	0.08679761	0	1	3.36E-10	1	0.000319306	1	1.36E-08	0.019378829	1.12E-12	0.009122185	0.207715804	1	0.016058934	0	0.023710233	0.064024446	0.145781596	0.051964428	0.498432226	1	0.005716678	0.073041631	0.016656937	1	0.04320907	0.012623138	0.021576328	0.073845861		2.00	10.86360713	0
NELFE	0	1	0	0	0	1	1.60E-14	1.93E-12	0	1	0.003735939	0.000971767	0	1	0.006425572	1	6.94E-08	1	0.018777508	0.237890389	1.87E-07	0.000244903	1	0.000562634	0.043910054	0	1	1	0.00074415	0	0	0	3.29E-11	0.352930278	0.056787994	1	0.004494419	0.017225026	0	4.18E-09		2.00	10.72298144	0
IL6R	1	1	0	0	1	0	1	1.41E-09	1	1	0.028014711	0.0020728	0	0	1	1	4.77E-07	0.975343494	0.005455487	4.95E-06	1	0.005678716	0.221039101	0.002278771	0.019417391	0	8.01E-09	0.0000846	0	0.263016052	0	0	0.031196963	0	0.026369882	0.108969922	0.031605325	0.043804538	0	0.000619629		1.08	10.68894333	0
STAT5A	1	1	0	0	1	1	0	2.27E-09	0	0	0.002977659	0.026505959	0.009282222	1	1	1	9.69E-05	0	3.62E-17	0.007671215	1	0.000286662	5.05E-06	9.87E-13	0.001527114	0.008163179	1	0.108116493	0.318948385	0	0.118238502	3.98E-11	1	0	0.003061163	0.043182921	0.07286204	0.025985426	0.036390788	3.73E-09		0.04	10.64806342	0
SRP54	0	1	0	0	1	0.258359478	0	1.38E-07	0	0.960986354	0.086544467	0.000214082	0	1	3.89E-11	0.15953554	0.377847731	0.139844772	1	0.001913347	1	2.08E-05	0.03329153	0	0.003894428	0.205157488	0.02285236	0.48579784	0.281519786	0	0	0	1	0.562861169	0.03008062	1	1	0.008841183	1	0.001696256		1.14	10.6107219	0
CDC42SE2	1	0	1	0	1	0.337255257	0.12596458	5.97E-06	0	0	0.136581132	6.90E-12	1	0.031941941	1	0	1	0	0.007451171	0.000202972	1	2.75E-05	0	0	3.01E-05	1	0	0.328639247	0	0	0.0000181	0.007566383	1	0	0.017591149	0.203650367	0.000144322	0.003852789	0.322661078	0.000000802		0.20	10.19692582	0
C1orf54	1	0	1.33E-16	0	5.40E-05	0.018191285	1	0.000154245	2.61E-08	0.694008274	0.011535258	0.096041558	0	1	1	6.81E-16	0.000218875	1.27E-14	0.054718097	0.003210891	1	0.005211288	0.036571068	0.417538629	0.030337742	0	1	0.273099732	1	0.341504149	0.086979439	0.465354425	0.00200803	0.359097867	0.024590943	0.232983054	0.048181735	0.041289457	0.00349318	0.021394391		0.23	10.15340884	0
CREB5	1	1	0	0	1	2.79E-14	0.02001665	1.30E-06	0	0.000268241	0.002960648	0.003981692	0	0	1	1	5.68E-07	0	1	0.295989835	1	0.005186249	0.002547949	4.96E-07	0.010801068	0	4.69E-11	0.195246363	0.633881966	0.519066431	0.00057016	0	1	0	0.024051578	0.10353669	0.047319386	0.044911729	0.033952449	0.677519974		0.10	9.81810788	0
MICA	0.059341839	1	0	1.33E-15	0.010818212	0.403004101	0	8.15E-07	0.046197197	0.000787521	0.002637511	0.102953787	0	1	1.65E-09	1	8.73E-09	1	8.27E-06	0.385687514	0	0.000806658	0.777145257	0.006291173	0.101428792	0	1	0.629733144	0.00000422	0.000101139	0.142136158	1	0.036755308	0.000761856	0.077072697	1	0.025424622	0.029452871	0.095134331	0.2230079		2.00	9.783673179	0
STAT6	1	1	2.18E-07	0	1	0	1	7.09E-11	0	0.063815961	0.003307586	0.002731844	0	0	1	1	0.008672254	1	0.015504198	1.52E-15	1	0.000720335	0.205229096	5.95E-09	0.006837305	0	8.17E-09	0.439920033	0	0.00000018	5.52E-15	0	0.016174691	0	0.011274003	1	0.005011453	0.021584121	0	0.028067496		2.00	9.774187718	0
ARFRP1	1	1	0	0	0	1	0.000653338	2.00E-06	2.97E-10	0.876708687	0.005862586	0.015642198	0	1	2.20E-08	1	0.000181137	1	1.32E-08	0.252259867	5.39E-09	0.006052018	0.255106141	0.014281112	0.043075729	0	1	0.215573721	0	0	3.86E-16	0	0	0.000000203	0.029901662	1	0.017502949	0.022739452	8.59E-14	1.20E-10		2.00	9.71530044	0
NFKBIL1	0.170363108	1	0	0.717531184	0.314699373	0.16495874	1.81E-11	6.01E-07	0.00711256	0.698046345	0.013861352	0.000400406	0	1	0.046378544	1	0.005689418	1	0.430503784	0.049680984	0.100148887	0.004566535	0.94226041	2.33E-07	0.008538649	0	0.019059715	0.613958525	0.000162712	2.41E-17	3.06E-13	1.85E-10	0.233491951	0.092027233	0.032476378	1	0.083940394	0.045626159	0.001051426	0.009087503		2.00	9.665917627	0
FNIP1	0	1	0	1	2.10E-13	0.068445014	2.96E-05	4.74E-12	0.103885816	0.874281299	0.090481154	0.366642498	0	1	0.077270032	1	0.000252367	1	0.001621248	0.18967435	1	0.000742299	0.59863126	2.25E-12	0.014895611	0	0.011250456	0.199747967	0.582919077	4.30E-13	0	0	0.468389968	0.006239493	0.00192663	0.00000562	0.036718495	0.03773157	0.000230524	0.053954486		1.00	9.6573318	0
AGPAT1	0.172107671	1	5.50E-09	0	0.382500604	0.000798072	0.536566406	0.004032821	0.029212924	1	0.014318981	0.042422349	0	1	1	1	0.00180718	2.74E-11	0.717357639	0.031981976	0.003356681	0.006811869	0.604303846	0.096450992	0.023208746	0	0.409534704	0.440055924	0.634783379	7.40E-11	1.38E-12	0.000238326	0.0000035	0.263439677	0.021085554	0.16688135	0.01714546	0.017078817	0.00000437	0.054130445		0.17	9.603261177	0
DEXI	4.73E-06	1	0.001399209	0	1.34E-14	0.393375587	0.00423905	0.12172522	1	0.0642982	0.053589809	0.10757617	0.06369419	1	0.001210174	1	0.002902351	0.000621163	0.000472969	0.065154912	0.004292362	0.068623835	1	0.000265986	0.02782313	0	0.094211261	1	0.24578163	0.002573948	0.014506357	0.789849178	0.117902808	0.218042681	0.021505489	1	0.025311481	0.053951137	0.0000181	0.041805864		1.00	9.485642404	0
IL18R1	1	0.032024993	1	0	0.808770958	7.47E-15	1	0.261508836	1.33E-12	3.38E-06	0.018440327	0.002909949	1	0	0.947998653	9.76E-11	0.398297585	0	0.920725283	0.000180467	0.483097128	0.04483088	0.000551665	2.61E-10	0.019995715	1	1.18E-08	0.038728234	0.0000253	0.067084514	0.000681915	2.41E-09	0.000189793	0.273162427	0.043553472	0.072288462	0.001574951	0.01343229	9.36E-10	0.032173302		0.07	9.43504995	0
STK19	0	1	0	1	0	0.377385572	0	1.74E-06	9.40E-08	0.095416468	0.014076406	0.011895559	0	1	3.83E-14	1	0.000150273	1	5.66E-05	0.195954078	5.30E-09	0.004131303	0.706602377	0.000106789	0.024547805	0	0.791520032	0.907630825	0.02844116	0	0.0000403	0.001878026	0.007966292	0.219434167	0.035976459	1	0.026017678	0.03990923	0.000334315	0.048179317		2.00	9.423212316	0
PLXNC1	1	5.01E-15	0.010627518	0	1	5.24E-07	1	0.008597206	1	6.96E-07	0.064227523	0.011422744	0	0	1	0.002571049	0.01511169	2.08E-13	0.358996765	0.002650386	1	0.018094786	1	5.43E-06	0.022038338	0	5.10E-07	1	2.30E-11	0.044283614	0.037523445	0.359566134	0.300907397	0.029625728	0.035807301	0.035963732	0.02173625	0.031923765	0.011584	0.037628749		0.04	9.358022518	0
RELA	0.022332447	1	7.17E-16	0	0	0.115664148	0	0	0	1	0.000704975	0.015872114	0	1	2.83E-09	1	0.002060692	1	1.26E-11	0.254818713	1	2.03E-06	0.079782247	1.29E-09	0.035076856	0	1	0.109435685	0	0	0	0	1	0	0.020625997	0.655078483	0.001093343	0.014356629	0	0.001957973		1.66	9.311454387	0
LST1	1	0	2.82E-11	0	1	0	1	9.35E-06	0	0	0.00663742	0.000187976	7.36E-13	0	1	0	2.93E-06	0	1	2.50E-12	1	0.000648271	2.95E-10	0	0.00248868	0	0	0.037169279	1	0.060576632	0.037127788	0.040814995	1	1	0.037628749	0.043288715	0.021016496	0.033012664	1.95E-15	0.041524416		0.04	9.266580778	0
ARID3A	1	0.722082763	3.93E-06	0	1	3.92E-09	1	0.001753543	4.10E-16	0.050215388	0.029964092	0.033400943	0	0	1	5.98E-11	0.007844144	1	0.173007199	0.001065594	1	0.022813288	0.000750624	2.63E-07	0.011580675	0	5.44E-12	0.04214443	0.0000132	0.00034252	6.72E-08	0	1	0	0.010332974	1	0.014689138	0.039829045	0.00000579	0.013281727		2.00	9.107315644	0
RBM17	0.898716325	1	0	0	0	0.000728153	2.56E-14	4.57E-15	0	1	0.000231423	0.020975202	0	1	1.15E-16	0.885378343	0.223258982	1	0	0.00235364	0.000322465	0.000364986	0.032199549	0.00157013	0.000561959	0	1	0.952941269	0	0	0	0	0.004172394	0	0.001549504	1	1	0.048377959	0.313901638	0.001592477		2.00	9.025324324	0
FADS1	1	1	1.08E-06	0	1.03E-14	4.63E-06	1	0.00798427	1	1	0.01412253	0.051119904	0	0.16203337	1	1	0.005269104	0	0.000448504	0.051838532	0.291532094	0.022897307	0.47973123	0.67360232	0.05774071	0	0.000114058	0.019728433	1.69E-08	0.00000541	0	1.55E-10	0.003288209	0.051206411	0.047088274	0.061119838	0.024520099	0.036384923	0.049200033	0.138997652		0.06	9.00087624	0
RERE	0	1	1.15E-08	0	0	1	0	0.007303479	2.12E-12	0.924105109	0.009482727	0.075677655	0	1	1.61E-09	1	0.009303995	0.085546564	1.77E-06	1	2.91E-11	0.019199022	0.042002185	0.020303628	0.019256171	0	1	0.168029484	0.393742196	0	5.89E-09	0.004251919	0.000110138	0.310408707	0.01059347	0.599593021	0.025295199	0.026034922	6.74E-11	0.000125604		0.69	8.698911255	0
TNF	9.01E-06	0	6.01E-05	1	0.002317254	1.81E-17	1	0.001014035	2.45E-08	5.70E-07	0.017229518	0.115863902	1	0	1	0	0.031285279	0.05606208	1	3.20E-07	0.14069214	0.006456542	0.000843488	3.71E-14	0.006902224	1	0	0.084860195	1	0.040811158	0.022733927	0.047101194	0.001179979	1	0.006166882	0.113213846	0.158807121	0.039802341	0.13179386	0.037536179		0.17	8.694803687	0
ECM1	0	1	0	6.03E-18	0	0	1	0.001452603	1	0.035740428	0.004991632	1	0	0	0	1	6.98E-09	0.017500556	0	3.83E-11	0	0.002146751	1	2.71E-07	0.388514174	0	0	1	0.010260253	0.151361084	0.023320832	2.36E-10	0	0.03561447	0.012171032	1	0.033805029	0.024750695	0.029642618	0.040779371		1.02	8.683074093	0
RAB1B	0.106335171	3.38E-16	0	5.02E-06	1	0.098393203	0.000154682	0	0.505094145	0.719827307	0.000371839	2.60E-06	0	1	3.36E-07	0.07863456	4.20E-10	1	0.534294666	0.29281565	0	7.85E-06	0.602720556	0	0.005361077	0	0.445678769	0.146383601	2.02E-09	0	6.03E-18	0.708127829	5.20E-13	0.021220203	0.053700243	1	0.000510922	0.048576533	2.23E-13	0.171767345		2.00	8.319129316	0
STAT5B	0	1	2.41E-17	0	0	0.304787749	0	2.40E-05	0	0.315951641	0.018539684	0.071122976	1	1	1.86E-13	1	0.013136813	0	0	0.002870285	0.185123604	0.002360901	8.52E-06	1.42E-05	0.012844492	1	0.973059791	0.042208924	0.058762501	0	0.00000148	0	1	0.000000555	0.010844874	0.077319549	0.137689688	0.027325107	0.334534517	0.000407395		0.08	8.088982496	0
IL2RA	1	0	0.045127285	0	1	0	1	1.97E-06	0	0	0.005276905	8.03E-05	0.708159114	0	1	0	1	0	0.000101225	0.000124779	1	0.009808099	0.000459622	2.75E-12	0.014371797	1	1.09E-15	0.040554793	0	0.03149496	0.033580011	0.013220394	0	0	0.037628749	0.044003272	0.633429889	0.033012664	0.005509045	0.036449931		0.04	7.98399331	0
CSF2RB	1	0	0	0	1	0.051858343	1	0.123224364	1.21E-17	0	0.050592633	0.000799317	0	1	1	0	0.000980915	0	1	0.041379618	0.189510151	0.049201418	0.000752071	4.38E-10	0.016083151	0	1	0.037169279	4.37E-15	0.229630208	0.039352333	0.054850624	1.92E-10	0.00000141	0.037628749	0.042774028	0.035205536	0.017939745	0.024353458	0.007064798		0.04	7.965788613	0
P4HA2	0	1	0	0	0	0.394187493	1.89E-05	0.039794733	1	1	0.020344867	0.036823961	0	1	0	1	0.000250692	0.543141478	0	0.002481331	9.04E-17	0.004777685	0.565403591	5.59E-06	0.015863653	0	2.72E-05	0.007557975	0.190976623	1.51E-16	6.93E-12	0.01919624	0.00000788	0.003152324	0.022655006	1	0.055866911	0.009822611	0.010716031	0.001001151		1.54	7.866667196	0
SIK3	1	1	7.44E-07	0.112168743	1	1.21E-17	1	2.80E-06	6.03E-18	0.024467456	0.011362481	0.051119962	0	7.21E-05	0.218635171	0.386644472	0.03957018	0.741066349	0.000481329	0.00096974	1	0.004200192	0.004959851	5.03E-06	0.024669758	0	0.020172329	0.112773773	6.45E-12	0.00575698	0.00000594	1.87E-16	0.932883365	4.86E-11	0.017328968	0.052406646	0.064864019	0.033012664	0.002437857	0.052991985		0.79	7.761724402	0
BATF3	1	0.154891961	0.00156278	0	0.000372462	1	0.031482754	0.018720956	0.003765968	0.00988862	0.036791626	0.113831281	2.38E-05	0.170931628	1	1	0.007522111	0	0.000483975	0.042098387	0.03922746	0.023317813	0.007398628	0.139417001	0.022245048	9.84E-11	0.047089602	0.048036398	0.918990113	0.159487004	0.380945132	1	0.19143997	0.049802968	0.016385915	0.049247828	0.04377621	0.043890136	0.113896805	0.0000046		0.05	7.685399197	0
TRAF3	1	1	0	0	1	0.036286349	1	0.000122347	2.24E-05	0.00019189	0.154288185	0.030894134	3.22E-08	7.80E-07	0.353177251	0.857183337	0.002245276	0	0.093539855	0.04528662	1	0.005681442	0.05061488	3.71E-10	0.049799755	0.198559028	2.80E-06	0.166971955	1.89E-09	0.007095438	0.001666843	0.001737529	0.022075064	1.81E-17	0.056510889	0.550618597	0.086842464	0.03635984	0.780555554	0.058731443		0.55	7.684572668	0
ATF6B	1	1	0.094862293	0	5.87E-09	0.285766863	0.01153542	3.30E-07	2.43E-12	1	0.009938283	0.00505713	1.79E-06	1	0.227536549	0.366753169	0.005652871	1	0.018348472	0.021201667	0.015379949	0.007333706	0.203702572	4.09E-13	0.012514896	0	0.054196452	0.241812579	2.60E-15	0	0	0	3.15E-08	0.000299484	0.015079702	1	0.000100471	0.035403281	0	0.000014		2.00	7.596974214	0
SATB1	1	0.187406246	1	0	0.092184225	2.37E-14	1	0.00096052	1.96E-13	3.64E-12	0.012182725	0.004330215	1	0	0.047841552	0	1	0	1.74E-14	3.85E-07	1	0.008885385	0.000501568	0	0.00531176	1	0	0.125773319	0.003690563	0.020410409	0.003273728	1.19E-14	0.019174408	2.86E-09	0.023395665	0.020684664	0.021678255	0.046067364	1	0.022568466		0.02	7.57600734	0
PACS1	1	2.31E-11	0.778053816	0	1	5.04E-07	0.030323561	8.19E-05	2.60E-12	5.67E-16	0.021167134	0.002926133	1.26E-10	1.72E-13	1	0.94482194	0.012296439	0.002300297	0.004034712	0.014056487	0.57952825	0.022189355	0.032640231	5.31E-07	0.016986443	0	5.27E-05	0.148878061	0	0.000510057	0.053969847	0.744357178	0.149755405	0	0.032476378	0.827967814	0.000193539	0.059623104	2.97E-11	0.03820378		0.83	7.419375155	0
RGS14	0	0	1	1	0	0	0	4.21E-05	5.00E-07	0	0.055710404	0.000139027	1	0	4.99E-06	0	0.087818743	1	8.02E-06	1.32E-08	0	0.001619183	0.02117648	0	0.003262877	0	0	0.173671369	1	0.0000303	0.036574302	0.144560712	0.074499417	0.691291725	0.03235036	1	0.005036694	0.025935997	0	0.071563554		2.00	7.322760539	0
CLEC16A	1	7.15E-12	2.66E-08	0	1	6.88E-08	0.106817122	0.00170958	8.30E-06	3.03E-07	0.043553026	0.020983538	9.04E-16	2.65E-10	1	2.68E-08	0.019658537	0.85353093	1	0.003422175	0.508971381	0.014389199	0.019925675	2.85E-05	0.017789203	0	1.47E-06	0.100933612	0.000000811	0.011980056	0.084210587	0.073907974	0.367274679	0.000117555	0.026369882	1	0.095039434	0.041426515	0.040631827	0.062612401		1.85	7.275584183	0
LRRC32	0	1	0	0	0	1	0	4.36E-05	0	2.18E-11	0.006877207	0.095892137	0	1	0	1	6.75E-07	0	0	0.017647996	0	0.002213891	4.73E-07	0.014430436	0.008427201	0	1	0.043123219	0.021081699	1	0.945520766	3.35E-13	0.005504266	0.03639626	0.008457178	0.048208379	0.034969357	0.035268076	0.095679339	0.0000297		0.05	7.253825428	0
GLB1	1	1	0.009186439	0	0.017266688	2.28E-07	0.015368795	1.24E-06	0.002331607	0	0.009120021	0.004195555	1	4.60E-08	0.524707096	1	0.039817172	0	0.003370586	0.001915188	5.24E-08	0.008592238	0.681872577	1.31E-10	0.01488355	0.558347261	4.04E-12	0.394169068	0	2.41E-17	0.003133523	1.63E-14	1.10E-14	0.000000586	0.021931473	0.915567013	0.010385276	0.03892803	0	0.002759144		0.92	7.225778	0
SLAMF1	1	0	2.30E-05	0	0	0	0.412332936	3.22E-05	0	0.018605986	0.4801344	0.003536323	1	0	0.000568846	0	0.177719941	0	0	1.31E-10	0.91307844	0.001157498	2.22E-08	0	0.003568892	1	0.000524723	0.045275674	0	1	1.03E-11	0.027590963	1	0.05285835	0.01966276	0.038893936	0.446890568	0.025916244	0.003094222	0.039340867		0.04	7.195564869	0
ME2	1	0.340113173	8.90E-08	1.55E-14	1	4.99E-14	1	0.000188591	2.41E-17	2.08E-14	0.02486927	0.000523348	0	0.644192379	1	0.01818273	0.047648251	0.101944583	1	0.044554525	0.000714453	0.010835368	0.27293191	8.52E-05	0.011183826	0	0.000243766	0.560330541	0.006348846	7.11E-16	0.039184301	3.15E-13	0	6.84E-11	0.029018158	0.000788648	0.050340976	0.026988212	0.033547043	0.126995644		0.10	7.153881935	#N/A
KAT5	0	1	0	1	6.40E-14	1.40E-08	0	1.04E-06	0.220455609	1	0.027001195	0.008606993	0	1	0.014047884	0.472719411	0.003194454	1	0.000795439	0.036285687	0.000356379	0.008403541	0.867571834	0.047187611	0.067082816	0	0.03101768	0.129064699	0.0000185	0	0	0	0.000222453	0.000000617	0.053344555	1.09E-15	0.014021511	0.027407228	0.000000121	0.012629054		1.00	6.987378406	0
