GeneID	Dendritic_cells_H	Fibroblasts_H	ILC_NK_cells_H	Keratinocytes_H	Langerhans_cell_H	Lymphatic_endothelium_H	Macrophages_H	Mast_cells_H	Melanocytes_H	Pericytes_H	Plasma_cells_H	Schwann_cells_H	T_cells_H	Vascular_endothelium_H	Dendritic_cells_LS	Fibroblasts_LS	ILC_NK_cells_LS	Keratinocytes_LS	Langerhans_cell_LS	Lymphatic_endothelium_LS	Macrophages_LS	Mast_cells_LS	Melanocytes_LS	Pericytes_LS	Schwann_cells_LS	T_cells_LS	Vascular_endothelium_LS	Melanocytes_DP	Dendritic_cells_DP	Vascular_endothelium_DP	Pericytes_DP	Fibroblasts_DP	Macrophages_DP	Langerhans_cell_DP	Schwann_cells_DP	Keratinocytes_DP	ILC_NK_cells_DP	Mast_cells_DP	T_cells_DP	Lymphatic_endothelium_DP
SLC22A5	3.25976E-09	0.016750151	0.000437429	1	8.89748E-07	0.001589517	5.85103E-07	0.010295703	0.002450161	0.00284538	0.024096942	0.020198641	9.85997E-05	0	1.02448E-05	0.408197392	0.00363246	1	0.000645083	0.008886631	8.06977E-08	0.021939804	0.018698537	0.000111924	0.017609769	0	6.86193E-08	0.097457868	0.224355245	0.064288073	0.080210382	1	0.045410066	0.125730296	0.034048157	1	0.039456144	0.052326106	0.014844849	0.078536716
SHE	5.34042E-09	0.210256074	4.81645E-05	0	1.46146E-06	1	0.936983126	0.014361915	0.000292271	8.08015E-05	0.023958149	0.017189831	0	1	0.000273943	0.359823617	0.012820528	2.40348E-06	0.002931869	1	0.002545761	0.024997808	0.016610603	0.000959816	0.027811182	0	1	0.04474937	0.032486347	0.33940793	0.037022391	0.04924913	0.000000289	0.026308675	0.035807301	0.039310536	0.031998977	0.033012664	0.034875531	0.232012615
UCKL1	1.03046E-08	0.07619975	1.67552E-15	1	1.58481E-06	0.105702487	0	2.12971E-07	3.4774E-09	0.000803299	0.008629856	0.00677406	0	1	1.85936E-08	0.129597316	0.000987365	1	1.58609E-06	0.254886043	4.58056E-16	0.002246961	0.04186666	3.77812E-05	0.021388948	0	0.011639449	0.132045676	0.00000408	0	0.001240581	0.000860586	0.000539578	0.00000798	0.033820425	1	0.019278046	0.033389222	1.25E-12	0.094822311
LIME1	1.12625E-08	8.39005E-09	0.030219836	3.71007E-10	1.69616E-07	0.000131231	1.44737E-07	0.015439158	0.000446094	0.000163424	0.105553216	0.015631645	1	0	1.12175E-12	0	0.025891844	4.74027E-14	7.22949E-08	0.000408206	1.1528E-10	0.009984655	0.000844874	1.92832E-11	0.020753484	1	2.58741E-14	0.048043721	0.093974598	0.048637363	0.039250751	0.042791166	0.060180539	0.045244915	0.047867372	0.208040193	0.105267301	0.033012664	1	0.052595427
C2	1.62024E-07	1	5.11094E-05	0	3.26057E-07	0.000197593	0.988279224	0.010588811	0.00056691	0.000893879	0.025135753	0.220770421	1.30184E-15	2.20574E-12	1.70321E-06	1	0.00616973	1.1152E-10	0.000353827	0.00604413	0.001785193	0.019612519	0.011486788	0.000904593	0.031796802	0	2.57231E-06	0.055695819	0.032093787	0.038998112	0.063663843	0.000089	0.0000238	0.042090405	0.011478646	0.025468821	0.035681227	0.037628749	0.034568576	0.046608529
NCR3	4.6618E-07	3.8614E-07	1	0	4.38643E-05	0.000497182	2.82323E-06	0.013224246	0.005118771	0.000503006	0.034402816	0.025006182	1	4.21004E-10	0.008772738	3.96433E-06	0.644308566	0	0.014818799	0.009405117	0.0020607	0.024731826	0.01448454	0.00062153	0.027595333	1	0.000255266	0.032492635	0.139966036	0.040268651	0.036931582	0.035811774	0.0583915	0.076501414	0.034048157	0.033463536	0.058379285	0.037628749	0.00000245	0.037628749
PDCD1	5.99903E-07	1.27579E-10	0.000908231	0	3.02824E-06	0.154529771	3.0002E-06	0.011524085	0.000218134	6.65713E-05	0.039222665	0.014809271	1	1.19637E-14	0.000133592	2.10947E-16	0.008574462	0	1.26131E-05	0.005900926	0.000571226	0.015399795	0.00269435	1.49204E-07	0.01966	1	2.63122E-09	0.040554793	0.159618834	0.035852876	0.035564255	0.034840494	0.138651807	0.022284401	0.037628749	0.038236953	0.045643006	0.035268076	0.154873327	0.008679784
IL1RL1	2.02932E-06	1	0.023671867	0.000397987	8.32924E-08	7.83966E-05	3.04606E-06	1	0.000550559	1	0.031369839	0.061571024	9.97736E-10	0	0	0.648157727	0.247644247	0.031225066	2.8184E-05	0.001866062	0.000114331	1	0.003257648	0.273640942	0.027768056	0.386630355	2.73889E-06	0.035886121	0.027723193	0.089487868	0.012748003	0	0.08122353	0.03587476	0.027756073	0.37782169	0.330833116	0.026213666	1	0.039340867
DEXI	4.73482E-06	1	0.001399209	0	1.33921E-14	0.393375587	0.00423905	0.12172522	1	0.0642982	0.053589809	0.10757617	0.06369419	1	0.001210174	1	0.002902351	0.000621163	0.000472969	0.065154912	0.004292362	0.068623835	1	0.000265986	0.02782313	0	0.094211261	1	0.24578163	0.002573948	0.014506357	0.789849178	0.117902808	0.218042681	0.021505489	1	0.025311481	0.053951137	0.0000181	0.041805864
SIPA1	6.14208E-06	1	0.036515845	0.1181142	6.27277E-13	0.0003586	0.918894314	0.001043719	0.002818726	0.011179887	0.011116156	0.011382438	0	1	0.009161476	0.002839757	0.027974188	1	2.03608E-06	0.048416591	0.022716857	0.019702775	0.327266899	0.000244543	0.019125761	0	0.020109105	0.373111905	0.099024572	0.000000019	0.006098119	1.07E-09	0.000134573	0.010227804	0.032666049	1	0.030123974	0.053672524	0.001147712	0.109759824
TNF	9.00616E-06	0	6.01236E-05	1	0.002317254	1.80811E-17	1	0.001014035	2.45204E-08	5.69752E-07	0.017229518	0.115863902	1	0	1	0	0.031285279	0.05606208	1	3.1963E-07	0.14069214	0.006456542	0.000843488	3.71266E-14	0.006902224	1	0	0.084860195	1	0.040811158	0.022733927	0.047101194	0.001179979	1	0.006166882	0.113213846	0.158807121	0.039802341	0.13179386	0.037536179
PRR5L	1.48617E-05	0.012742205	0.985039532	0	1.45568E-05	0.043260112	1.69185E-05	0.017993131	0.001793537	0.002490575	0.03531631	0.038672595	1	1	0.004029357	0.202240431	0.128828401	0	0.009056008	0.161065123	0.006256321	0.027434007	0.021606724	0.010316107	0.028921928	0.068358559	0.061526676	0.040070058	0.031662364	0.0000706	0.032827959	0.078937149	0.035337951	0.03629888	0.029134875	0.038019252	0.01978974	0.035268076	3.54E-11	0.107953683
SLC22A4	2.87079E-05	1	0.001026239	0	3.69307E-05	0.242775627	0.081257195	0.017721336	0.005792143	0.00750193	0.028359738	0.036280336	9.08095E-08	1	0.015811492	0.596710861	0.020993178	0.000677433	0.007100573	0.12391146	0.030461614	0.028720539	0.022209108	0.041799808	0.040797995	0	0.57649484	0.03642529	0.081384767	0.002896535	0.06884638	0.000284243	0.013502973	0.037092814	0.039730827	0.045289905	0.037760904	0.036435124	0.029141811	0.047075527
UGT3A1	2.98518E-05	2.71082E-05	4.88684E-05	0.000368955	3.6125E-05	5.39163E-05	3.35394E-05	7.28008E-05	5.78222E-05	5.36756E-05	7.8856E-05	7.56764E-05	0	1.36268E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037493406	0.037628749	0.037628749	0.037628749	0.037628749
CHAC1	3.71365E-05	0.000168286	0.000382346	9.56015E-08	0.003808209	0.038659713	2.01349E-05	0.02225539	0.001618079	0.000814937	0.110161321	0.017395961	0	1	0.022719117	0.00035491	0.044731914	0.372531277	0.025784735	0.034709521	0.015082106	0.035019693	0.046068634	0	0.025464683	0.004242195	0.52452944	0.098977088	0.156583084	1.31E-11	0.037592427	0.06130707	0.124705359	0.0664677	0.037628749	0.725341022	0.093010243	0.045100523	0.397480086	0.040621492
D2HGDH	3.85938E-05	2.68143E-14	1	1	0	7.69111E-14	0.653335109	0.002564307	2.51207E-14	5.11431E-08	0.010374822	0.001065627	0.462707237	0	0.014835399	0.002177358	0.029852737	1	6.41401E-05	0.003690771	0.250984956	0.014982199	0.009943745	9.31172E-06	0.012911351	0.075568169	0	0.075787129	0.000697939	0.014023189	0.002460384	0.007137688	0.000156537	0.003355418	0.029134875	1.69E-15	0.000228214	0.023091889	3.22E-11	0.035259477
FKBPL	4.23198E-05	0.005540326	0.000133695	0.002144919	2.82767E-08	0.172723443	7.40919E-07	0.006121937	0.001430875	0.525548622	0.027851626	0.128049749	0	1	8.73803E-05	0.026011461	0.008159891	1	0.005454041	0.04578106	1.90285E-05	0.020250785	0.035867518	0.052249061	0.027627055	0	0.094421032	0.061589588	0.003924238	4.82E-17	0.000229455	0.027746808	0.004207655	0.051846623	0.013023793	1	0.020828392	0.035108754	0.008450086	0.014694954
CRCT1	6.02378E-05	0.000362276	0.001146531	1	0.000487681	0.002463112	0.000101935	0.018050348	0.031379798	0.003442002	0.029464802	0.022970277	1.41779E-05	0	0.001816635	0.000304071	0.018335144	1	0.006308391	0.017702479	0.002547587	0.027320692	0.030562377	0.005171596	0.02967615	0	0.002934451	0.03630432	0.04717344	0.056103108	0.046119525	0.030981705	0.041317047	0.035714434	0.037628749	1	0.040821873	0.037628749	0.014315179	0.04513624
EHMT2	8.18682E-05	0.000165468	0.704721954	0.006353508	0	0.003114369	6.42408E-05	0.032216855	0.13118336	0.000189036	0.038963687	0.020272195	1	0.449695234	0.002468665	0.624391781	0.027736549	1	3.32438E-05	0.037451601	0	0.018285507	0.191057754	0.001373151	0.014973389	0.00015673	0.013327137	0.114992721	0.042870145	0.001246146	0.057874581	0.758875704	0.000412187	0.046214323	0.022098776	1	0.004379437	0.021445994	1.94E-11	0.069976858
TNP2	8.93268E-05	0.000700779	0.000146281	0.000711571	0.000108111	0.000161405	0.000100368	0.000218012	0.00017311	0.000160684	0.00023617	0.000226635	0	4.07645E-05	9.79111E-05	5.99584E-05	0.0001667	0.000857801	0.000133852	0.000160683	0.000113487	0.000183453	0.000165266	0.000116298	0.000186422	0	0.000101752	0.037628749	0.037628749	0.037628749	0.037628749	0.037284621	0.037628749	0.037628749	0.037628749	0.037994815	0.037628749	0.037628749	0.037628749	0.037628749
IL2	0.000133319	0.000107873	0.048635955	0	0.000435834	0.003550495	0.000233555	0.019808934	0.005357508	0.003457921	0.030337675	0.024408702	1	6.02711E-06	0.000377919	4.98436E-06	0.046399759	0	0.002843464	0.010329419	0.001078621	0.025366742	0.012590756	0.000868141	0.028109183	1	0.000319202	0.037628749	0.044501975	0.038374928	0.037628749	0.036404059	0.04409647	0.037678981	0.037628749	0.037048076	0.056928104	0.037628749	0.035405038	0.037628749
RORC	0.000189431	0.000124356	0.056573053	1	0.000494992	0.00409657	0.000353705	0.02047063	0.006333893	0.00440804	0.039169887	0.024938835	0.698508071	0	0.006326256	0	0.040093009	0.241638658	0.012135181	0.018642869	0.008000549	0.032991492	0.019882793	0.008532307	0.026119822	0.065925612	0.00646721	0.037169279	0.039036674	0.038374928	0.036243435	0.036942681	0.037020724	0.037360115	0.037628749	0.004258573	0.032468369	0.045260694	0.0000449	0.037628749
CYP21A2	0.000230318	0.032876585	0.00338944	0.001576749	0.000271781	0.005356342	0.001908513	0.004073397	0.003730863	0.008747927	0.004727976	0.009255884	0	0.006410724	0.004735305	0.036349043	0.00653207	0.003326696	0.005176993	0.006281302	0.004353845	0.007236258	0.006472194	0.008204434	0.00736196	0	0.005985725	0.037169279	0.038173267	0.036227655	0.036141189	0.042169401	0.036719283	0.037628749	0.035807301	0.036077323	0.037135119	0.037628749	0.03578767	0.036449931
RNASEH2C	0.000230933	1	2.20319E-07	0	0	1	0.299261248	0.070827105	0	1	0.004894083	0.046362527	0	1	0.000295548	1	5.60631E-05	0	0.031610212	1	3.54746E-13	0.01798246	1	1	0.03791291	0	1	1	1.37E-15	0	0	0	0	0.118279976	0.021812536	1	0.0000963	0.009218698	0	5.8E-09
BACH2	0.000412077	9.87111E-07	1	0.770208498	0.039007195	0.000290345	9.58991E-11	0.003958362	0.034298669	0.000383863	0.030956424	0.05554005	1	0	0.001843983	0.006181911	0.57258591	0.003286899	0.001029694	0.058361376	0.057403974	0.026280001	0.051400943	8.27547E-05	0.049431817	1	0	0.049394718	0.022110288	0.053491037	0.020511981	0.131516871	0.358323051	0.001311102	0.041201184	0.0000302	0.134130066	0.050923601	0.040956121	0.123749073
AP5B1	0.000677308	1	0.001112526	4.50283E-08	0.000392087	0.000403562	1	0.009795401	0.028870321	0.537416087	0.033102326	0.058149309	0	0.00053632	0.036312087	0.033319668	0.016972264	0.529932935	0.032601538	0.041905452	0.185307046	0.026547538	0.1956533	0.013195257	0.038733474	0	0.025311743	0.111751439	0.010656233	0.004379731	0.0000002	0	0.000077	0.018532976	0.025086386	0.187114648	0.014733593	0.030860374	0.002581801	0.046238598
