Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Th2_precursors-U__optimal_overlap_Calderon_ATAC	1.0056871224672345e-07	3.048793195838025e-08	0.00048577207920841216
Naive_CD8_T-S__optimal_overlap_Calderon_ATAC	5.5308206342664625e-08	1.751904184984406e-08	0.0007969144962903082
NKcell__optimal_overlap_Corces_ATAC	7.139773288599303e-08	2.6564823069700078e-08	0.0035975199515964895
Naive_B-S__optimal_overlap_Calderon_ATAC	5.0398062799204946e-08	1.9840180531630646e-08	0.00553942582160923
Myeloid_DCs-U__optimal_overlap_Calderon_ATAC	4.815994372612901e-08	1.9859852216321464e-08	0.0076544034745424355
Mature_NK-U__optimal_overlap_Calderon_ATAC	6.4886889649025e-08	2.7817522436785527e-08	0.00983482299142097
Follicular_T_Helper-U__optimal_overlap_Calderon_ATAC	5.432045455352322e-08	2.3477906616738688e-08	0.010342533826273231
Naive_Tregs-S__optimal_overlap_Calderon_ATAC	4.533850012253325e-08	2.071293247312366e-08	0.01430212082150134
Naive_Teffs-U__optimal_overlap_Calderon_ATAC	6.179774744710807e-08	2.8491699784455554e-08	0.015042340404870378
Memory_NK-U__optimal_overlap_Calderon_ATAC	3.9604804606051e-08	2.1240498295180107e-08	0.03111950100915411
LMPP__optimal_overlap_Corces_ATAC	3.3879682822661626e-08	2.241530216457207e-08	0.06533649690344798
Bcell__optimal_overlap_Corces_ATAC	2.886556864522042e-08	1.9383000819982956e-08	0.06821461318083652
Bulk_B-S__optimal_overlap_Calderon_ATAC	2.6270626788830978e-08	1.7831400125462286e-08	0.07033791460519867
Plasmablasts-U__optimal_overlap_Calderon_ATAC	2.8714235486274333e-08	2.066584510691567e-08	0.08234741137842694
Mono__optimal_overlap_Corces_ATAC	3.4938565590571544e-08	2.7807432639732196e-08	0.10447697336956835
pDCs-U__optimal_overlap_Calderon_ATAC	2.7710016601502223e-08	2.214157075314276e-08	0.10537736760737149
CMP__optimal_overlap_Corces_ATAC	1.786021158585555e-08	1.5091017987492316e-08	0.11830563090148916
GMP__optimal_overlap_Corces_ATAC	1.6592657165898498e-08	1.595979643030587e-08	0.14925047106590877
Mem_B-U__optimal_overlap_Calderon_ATAC	2.1363056010286238e-08	2.2585839899449486e-08	0.17210984661554807
HSC__optimal_overlap_Corces_ATAC	1.6816899777052298e-08	2.0046312418280817e-08	0.20076203796423409
Naive_Tregs-U__optimal_overlap_Calderon_ATAC	1.645841090619041e-08	2.252393361717325e-08	0.23247886681209934
MPP__optimal_overlap_Corces_ATAC	1.3314911680585365e-08	1.9496781254222042e-08	0.24732594547473874
Mem_B-S__optimal_overlap_Calderon_ATAC	7.895045022571516e-09	1.5795479407099325e-08	0.3085976030122925
Naive_CD8_T-U__optimal_overlap_Calderon_ATAC	4.7106559865301035e-09	1.8234546741222334e-08	0.3980734613811377
MEP__optimal_overlap_Corces_ATAC	3.4182841461145623e-09	1.6427273025385068e-08	0.4175809421457592
Naive_B-U__optimal_overlap_Calderon_ATAC	3.6441809169051952e-09	1.9731140683466112e-08	0.4267353686573765
Bulk_B-U__optimal_overlap_Calderon_ATAC	-1.3280976291981932e-08	2.1185030780454312e-08	0.7346388517701222
Mature_NK-S__optimal_overlap_Calderon_ATAC	-1.0344552808821296e-08	1.5731232375295197e-08	0.74459615958875
Ery__optimal_overlap_Corces_ATAC	-2.7293023461254633e-08	3.368805351747994e-08	0.7910785324107301
CLP__optimal_overlap_Corces_ATAC	-2.274667122265404e-08	2.407782600872909e-08	0.8275976724059212
Monocytes-S__optimal_overlap_Calderon_ATAC	-2.9505786536280402e-08	1.4571973647474282e-08	0.9785576486812019
Monocytes-U__optimal_overlap_Calderon_ATAC	-3.865092436934546e-08	1.8075430567035383e-08	0.9837543174107087
